ID,Nom,Adresse,Latitude,Longitude
160b3cab-d076-485d-ad14-01e9f1742f3c,"Haut de nimes","620 Chem. des Hauts de Nîmes; 30900 Nîmes; France",43.8303176,4.3332166
77cedd3a-07c9-4435-a9e1-550a87246f2e,"Hautvillers padel municipal","Hautvillers; 51160",49.0830468,3.9433382
c74c5717-86de-40ad-9c92-e2ee5684368c,"Hédé-Bazouges tennis","35630 Hédé-Bazouges; France",48.2958022,-1.8022682
40936125-ce32-4847-9b4f-feae931c046b,"Jscoulaines","RUE DU PONCEAU
72190 Coulaines",48.0259846,0.2139843
8d0983f2-b1ab-4d43-925a-24d9a095d574,"L’usine Complexe Sportif","98 Rue Sarrault; 18200 Saint-Amand-Montrond; France",46.736641,2.493825
e4956887-feb1-4723-b8df-64127f7d21cb,"LA RAQUETTE PIONSATOISE","Ancienne gare; 63330 Pionsat; France",46.0931293,2.6595536
b481ac4e-8a8a-4d10-a94e-b4477ed9805b,"Lahitte-Toupière","65700 Lahitte-Toupière; France",43.4557074,-0.0165403
fd2658df-8441-4028-a18a-33b9877a1ff5,"Le Sporting Club Nantes","3 Impasse du Bourrelier; 44800 Nantes; France",47.2219348,-1.6422037
58b4da88-c6ac-45b5-a15a-7a409bd5455b,"Lonlay-l'Abbaye","61700 Lonlay-l'Abbaye; France",48.6458961,-0.7100244
dd6bd2ab-4a9c-4887-9f30-fd7c2c594e2d,"Loudeac padel automatique","4 Rue Honoré Michard; 22600 Loudéac; France",48.1806011,-2.7343856
c19533ed-d258-4eee-9fef-74c019babb1b,"Maison Helena","3 Rte de l'Ancienne Gare; 89560 Lain",47.606339,3.336532
e76e81f4-a0fb-496a-842b-a2b84cdca8ba,"mont municipal","64300 mont",43.4339567,-0.6543572
3134675a-9092-4956-b49d-c6709bdb1f64,"MONTAGNE-ST EMILION","parc Guadet
33330 ST EMILION",44.8820581,-0.1402846
93e37a75-76bc-4af4-bf8f-ebfa98c5419a,"Monte Carlo Beach Club","Av. Princesse Grâce; 06190 Roquebrune-Cap-Martin; France",43.7511531,7.4414065
65a8c3a6-8016-4509-a546-7180c88dc6f5,"MONTELO PADEL","Quartier Blaches; 26740 Savasse; France",44.6045,4.78037
3e25ab4f-1d5b-40c4-9eae-3de379e02cc0,"Nans les pins","100 Allée Paulette et Jacques Tomei Route de; Chem. de Pierrefeu; 83860 Nans-les-Pins; France",43.3813257,5.7849902
60682172-fe9e-444c-a047-9d0f234db5e4,"Nokort Padel","5 Rue Alphonse Daudet; 47300 Villeneuve-sur-Lot; France",44.3980072,0.7078351
e0db7195-e2f5-4a6a-adba-06a9f95e85e6,"Nouste Padel","Chem. de la Montjoie; 64510 Assat; France",43.2495978,-0.2990176
31c82594-75cf-4157-b660-081c8f8b8e1c,"Padel 16 - Municipal - sportfield","3 Av. du Président Kennedy; 75016",48.700843,2.516431
7cc23614-c940-4511-b9e7-4efdcc47692b,"Padel Cambrai","50 Rue de Péronne; 59400 Cambrai; France",50.1669921,3.2335688
c3d99d85-cd13-4478-a98a-71fec4afa760,"Padel castanet","18 Rue des Transports; 31320 Castanet-Tolosan",43.5163465,1.5217747
223c363b-11fc-4506-a73f-247b46b06774,"Padel District","Padel District
Av. de la Boutillerie; 59320 Sequedin; France",50.6186163,2.940276
63f307e3-4730-48dc-8c13-94b096658049,"Padel Eaunes","Chem. des Bertoulots; 31600 Eaunes; France",43.4247066,1.3569079
7ac66932-50af-4888-ab15-b5e8cf314e7e,"Padel evolution Digne les Bains","1 Rte du Chaffaut; 04000 Digne-les-Bains; France",44.0708556,6.2012166
48787227-06e5-4728-b6cb-3849b9548e0e,"Padel municipal Ax les thermes","Parc d'Espagne; 09110 Ax-les-Thermes; France",42.7147051,1.8414953
3279a84f-bde1-4ec9-9c5d-6dc8ebd46864,"Padel municipal chatelus le marcheix","Unnamed Road 23430; Châtelus-le-Marcheix",45.9986977,1.6073427
e32179dd-1eec-4fd1-92d4-046d9b1b11ea,"Padel municipal Chavagnes en Pailers","Pumptrack; Plaine des Sports; 85250 Chavagnes-en-Paillers; France",46.8627092,-1.2086084
9b3cc075-d6e0-4be3-a9bd-392ff8b3b395,"Padel municipal le croisic","Stade Constant Germon - Stade; 21 Avenue des Moulins; le croisic 44490",47.2933971,-2.5094404
318cb8f7-34b8-4b92-b3d5-135b13414bea,"Padel municipal Longeville sur mer","Chem. du Clouzy; 85560 Longeville-sur-Mer",46.4281572,-1.4678222
b40c6491-d734-40c1-905b-f83e2bc9feb2,"Padel municipal; Parc St Bertrand","182 Rte de Laval; 11500 Quillan; France",42.866333,2.2240662
696a30cc-688e-406d-a7e0-26c621e7a4e1,"Padel plus","39 Chemin du Moulin de Naudin; 31700 Blagnac; France",43.6553276,1.3932703
351d8345-b8d3-46f2-9158-14ed6ac32dec,"Padel Sévignacq (Padel du Gabas)","Chem. des Barthes; 64160 Sévignacq; France",43.4414794,-0.2627696
e44fa261-32a9-41e4-8cb1-62315eea499d,"Padel Up","26 Rue de l'Aubetin; 77120 Coulommiers; France",48.8036095,3.0938981
c12907fc-e289-48e5-8760-a1f03f7a8a2d,"Padl de ginasservis","2 Chem. de la Table Ronde; 83560 Ginasservis; France",43.6709232,5.8484679
